period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20
4	59	1988	19.335684	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	100	0	10.840756	14.746873	61.753735	8.5244112	44.5774	3.2721293	69.800781	50.799915	101.78234	4.9817696	44.653419	10	10	1	0	1	7.3589668	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	59	1993	21.047153	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	59	1998	22.199675	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	59	2003	24.236475	97.822128	0	10.840756	15.240724	45.150921	8.8090878	60.638802	1.9768158	93.888687	46.387657	42.144402	8.3378019	9.7079077	10	10	1	0	1	8.363307	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	59	2008	23.885759	98.601486	0	10.840756	15.328186	38.472424	9.2519379	63.194	1.7988888	93.925499	46.700966	35.909641	9.2349806	9.8244019	10	10	1	0	1	8.7493677	97.822128	0	10.840756	15.240724	45.150921	8.8090878	60.638802	1.9768158	93.888687	46.387657	42.144402	8.3378019	9.7079077	10	10	1	0	1	8.363307	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	71	1993	11.360915	97.710739	0	10.785601	15.845893	64.46386	7.4821639	56.647999	2.1317198	79.277397	48.003468	40.35994	6.8434792	26.593723	5.5999999	7	1	1	3	7.4001141	99.679161	0	10.785601	15.749449	68.270752	6.4975958	54.6828	2.0695319	103.28991	46.383621	56.448879	6.1331239	28.282854	6	7	1	1	1.2	6.9416504	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6	71	1998	12.998363	99.471504	0	10.785601	15.936327	60.169197	8.5190039	60.085999	1.6934745	78.391418	47.382786	23.935061	7.619463	5.6975479	8	9	1	1	2.4000001	7.7953639	97.710739	0	10.785601	15.845893	64.46386	7.4821639	56.647999	2.1317198	79.277397	48.003468	40.35994	6.8434792	26.593723	5.5999999	7	1	1	3	7.4001141	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7	71	2003	15.102741	100	0	10.785601	16.012487	55.55698	9.3839474	64.107002	1.3437675	76.689743	49.234882	30.956301	8.4509993	18.419861	8	9	1	1	2.2	7.9100471	99.471504	0	10.785601	15.936327	60.169197	8.5190039	60.085999	1.6934745	78.391418	47.382786	23.935061	7.619463	5.6975479	8	9	1	1	2.4000001	7.7953639	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8	71	2008	18.465969	100	0	10.785601	16.083319	51.157894	9.8718863	67.716202	1.4634024	61.724884	47.674301	32.028999	9.6230106	5.7926741	8	9	1	1	2	8.4137726	100	0	10.785601	16.012487	55.55698	9.3839474	64.107002	1.3437675	76.689743	49.234882	30.956301	8.4509993	18.419861	8	9	1	1	2.2	7.9100471	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5	73	1993	14.349413	100	0	12.531195	16.194344	63.984337	7.6212378	56.695599	2	55.413887	47.15995	81.190643	7.7876163	6.8131142	9	9	1	0	2	7.2639337	100	0	12.531195	16.091377	70.898766	7.4305234	53.540001	2.1319163	56.012005	45.338577	93.610001	6.9767938	-4.5647202	8.6000004	9	1	0	2	7.0246358	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2	75	1978	34.962173	100	2.4000001	9.9388552	15.319094	89.238632	7.6170855	43.038799	2.2750793	71.86203	47.53138	17.083179	5.3547516	13.886023	-3.8	3.3333333	1	1	4.4000001	5.3956218	100	0	9.9451094	15.20118	91.296608	7.4137259	40.666801	2.5674818	63.178226	52.897736	12.35575	4.7312031	5.9170527	-.80000001	6.4000001	1	1	2	4.710577	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3	75	1983	43.515511	100	6	9.9388552	15.396328	86.611649	8.0022097	45.604801	1.2503618	53.681568	47.363087	72.571983	5.764184	4.1488361	3.5999999	7	1	1	3.4000001	5.6552277	100	2.4000001	9.9388552	15.319094	89.238632	7.6170855	43.038799	2.2750793	71.86203	47.53138	17.083179	5.3547516	13.886023	-3.8	3.3333333	1	1	4.4000001	5.3956218	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4	75	1988	15.67424	100	6	9.9388552	15.464022	80.41568	8.5020981	48.194199	1.1767722	44.723431	47.474121	80.277496	6.0164943	2.6866739	6	7	1	1	3	6.5333533	100	6	9.9388552	15.396328	86.611649	8.0022097	45.604801	1.2503618	53.681568	47.363087	72.571983	5.764184	4.1488361	3.5999999	7	1	1	3.4000001	5.6552277	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5	75	1993	12.95857	100	2.4000001	9.9388552	15.53448	73.396477	8.8996153	52.073399	1.4685081	52.858089	48.753124	43.482861	6.2703104	7.9807739	7	9	1	1	3	7.1355062	100	6	9.9388552	15.464022	80.41568	8.5020981	48.194199	1.1767722	44.723431	47.474121	80.277496	6.0164943	2.6866739	6	7	1	1	3	6.5333533	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6	75	1998	14.857697	100	0	9.9388552	15.583625	69.474335	9.6326885	56.933998	1.0346879	62.475651	49.624557	29.23402	7.1968846	3.5482097	7	9	1	.40000001	2.2	7.6030865	100	2.4000001	9.9388552	15.53448	73.396477	8.8996153	52.073399	1.4685081	52.858089	48.753124	43.482861	6.2703104	7.9807739	7	9	1	1	3	7.1355062	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
7	75	2003	20.094816	97.372742	0	9.9388552	15.610576	64.309494	10.573374	60.5536	.33333334	69.201538	48.020187	38.491241	8.0679684	2.996026	7	9	1	0	2	7.8338242	100	0	9.9388552	15.583625	69.474335	9.6326885	56.933998	1.0346879	62.475651	49.624557	29.23402	7.1968846	3.5482097	7	9	1	.40000001	2.2	7.6030865	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
8	75	2008	21.157614	96.536751	0	9.9388552	15.630303	55.967453	11.248648	63.2272	.32786885	70.719826	45.234196	44.495159	8.7690964	3.1715071	7.4000001	9	1	0	2	8.1101599	97.372742	0	9.9388552	15.610576	64.309494	10.573374	60.5536	.33333334	69.201538	48.020187	38.491241	8.0679684	2.996026	7	9	1	0	2	7.8338242	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
