period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27
5	125	1993	18.205807	95.835495	0	13.251882	17.06485	95.639442	5.4303184	17.657	3.2721293	51.911682	53.043282	67.894058	6.8681083	17.07304	-5	3	1	1	5.5999999	9694219264	95.151093	0	13.251882	16.895967	103.70297	5.7542844	16.4804	2.8614719	40.515968	61.957531	45.929001	6.6188164	8.1950998	-7	1	1	1	6	10454612992	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	125	1998	18.508636	100	0	13.251882	17.202686	86.686958	5.3234186	19.2404	2.8113482	50.914257	51.185928	54.576439	7.163578	14.125838	-2.5999999	7	1	1	6.1999998	12843413504	95.835495	0	13.251882	17.06485	95.639442	5.4303184	17.657	3.2721293	51.911682	53.043282	67.894058	6.8681083	17.07304	-5	3	1	1	5.5999999	9694219264	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	125	2003	19.944061	98.537704	0	13.251882	17.341005	80.19175	5.1635408	20.9618	3.0358858	57.84288	49.131241	55.569	7.4134712	4.1460252	6	8.8000002	1	1	3.8	15259594752	100	0	13.251882	17.202686	86.686958	5.3234186	19.2404	2.8113482	50.914257	51.185928	54.576439	7.163578	14.125838	-2.5999999	7	1	1	6.1999998	12843413504	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	136	1993	52.586052	100	0	10.320881	14.369002	83.595909	8.3713989	15.7598	2.4264705	141.12668	62.045296	77.735748	4.8756027	12.344764	2	4.5999999	.60000002	1	4.5999999	736658624	100	0	10.320881	14.272607	85.666199	8.0682621	13.081	1.3333334	141.61945	60.813839	85.141121	3.746017	14.8972	-7	1	1	1	5.5999999	416765184	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	136	1998	56.858997	100	0	10.320881	14.45681	78.352592	8.3123035	18.7652	1.1111112	172.76833	61.518963	88.35318	6.9960785	7.900692	4.4000001	7	0	1	4	810471488	100	0	10.320881	14.369002	83.595909	8.3713989	15.7598	2.4264705	141.12668	62.045296	77.735748	4.8756027	12.344764	2	4.5999999	.60000002	1	4.5999999	736658624	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	136	2003	50.49688	99.931732	0	10.320881	14.518415	72.825935	8.0638189	21.954399	0	191.12596	52.756508	83.822258	7.3313789	7.1987462	7.5999999	7	0	1	2.4000001	983186880	100	0	10.320881	14.45681	78.352592	8.3123035	18.7652	1.1111112	172.76833	61.518963	88.35318	6.9960785	7.900692	4.4000001	7	0	1	4	810471488	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	137	2008	18.042725	100	0	11.475431	15.110773	80.75441	5.1270175	47.101002	3.9303253	111.7037	43.831108	310.42566	8.2192955	11.344724	6	8	1	1	3	908227456	100	.60000002	11.475431	14.926808	80.363617	4.8970866	45.362999	2.6264832	71.605835	40.9883	428.54221	7.9511395	5.1244078	1.8	6	.60000002	.40000001	5.4000001	529007904	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	143	1993	17.99699	100	0	13.273435	16.332434	84.977768	6.0087118	24.903999	1.6666666	46.338387	44.747894	142.343	4.774682	25.231501	7.5999999	9	1	1	2.8	3041825280	100	0	13.273435	16.175282	86.304459	6.2408376	22.5128	3.8181818	36.905643	45.690639	154.53525	3.8859684	16.35792	-6	2	1	1	4.8000002	2751731712	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	143	1998	16.885897	100	0	13.273435	16.482164	86.739014	6.0355549	26.591	4.3003664	55.417686	41.49905	129.5032	5.3190956	10.103406	7.5999999	9	1	1	2	3767893504	100	0	13.273435	16.332434	84.977768	6.0087118	24.903999	1.6666666	46.338387	44.747894	142.343	4.774682	25.231501	7.5999999	9	1	1	2.8	3041825280	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	143	2003	19.341795	100	0	13.273435	16.635906	86.632149	6.0605497	28.136801	2.4264705	64.918411	46.223564	101.43416	6.192873	11.582916	7	9	1	1	2.8	4749875712	100	0	13.273435	16.482164	86.739014	6.0355549	26.591	4.3003664	55.417686	41.49905	129.5032	5.3190956	10.103406	7.5999999	9	1	1	2	3767893504	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	144	1978	11.623835	93.275589	0	11.454024	15.586111	93.135185	5.0915818	8.4907999	3.189579	55.350334	64.777649	55.753422	4.909956	8.5700064	-9	1	1	1	6.4000001	1293244160	89.315201	0	11.454024	15.420023	91.765823	4.7693419	7.0124002	3.332068	52.647015	67.508293	43.512199	4.2088146	8.9258442	-9	1	1	1	7	680716352	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
