period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57	cc58	cc59	cc60	cc61	cc62	cc63	cc64	cc65	cc66	cc67	cc68	cc69	cc70	cc71	cc72	cc73	cc74	cc75	cc76	cc77	cc78	cc79	cc80	cc81	cc82	cc83	cc84	cc85	cc86	cc87	cc88	cc89	cc90	cc91
8	18	2008	12.706159	100	0	11.776597	18.79855	51.600788	7.1018562	26.990801	1.4285715	45.838192	57.999744	44.384075	8.5475492	6.748498	.80000001	5.8000002	0	1	3.8	79896215552	100	0	11.776597	18.72751	58.815281	6.9245358	24.8176	1.5384616	36.071941	48.409187	50.145119	7.9609995	3.72471	6	7	0	1	3.8	51471429632	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	21	2003	50.278	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	297656778752	87.684944	0	10.318243	16.118095	26.162348	25.061308	96.981598	0	137.72638	46.879303	117.8408	11.975632	1.0812594	10	10	0	0	1	250369785856	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	21	2008	50.616398	84.174591	0	10.318243	16.194344	25.618084	26.30629	97.390404	2	157.66937	37.969681	90.986038	13.623202	2.019598	8.3999996	7.5999999	0	0	1	472155947008	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	297656778752	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	24	2008	21.260931	100	0	11.633017	15.938205	83.204903	5.6911502	42.956001	2.9883642	44.400684	36.366428	25.651924	7.3964434	3.3367319	7	9	1	0	2	5999813632	100	0	11.633017	15.782978	86.620316	5.7293682	39.935001	3.5149057	51.446087	37.093201	53.848042	6.7247791	2.290904	6	9	1	0	2.4000001	3449791232	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	1988	14.498858	86.119537	0	13.910821	15.668119	75.009666	6.6958346	53.553799	2.537921	45.874344	50.95628	122.223	5.3537502	58.333359	9	9	1	1	2	4763691008	62.853107	0	13.910821	15.559031	77.480988	6.7145176	48.491798	2.132103	52.190163	52.276974	161.224	5.2809987	2847.0134	5.1999998	6.1999998	1	1	4	6575191552	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	27	1993	25.981573	81.199165	0	13.910821	15.780651	73.626884	6.9852476	57.8708	2.2519417	48.723969	51.885841	87.650703	6.2011538	11.365054	9	9	1	1	2	5884033536	86.119537	0	13.910821	15.668119	75.009666	6.6958346	53.553799	2.537921	45.874344	50.95628	122.223	5.3537502	58.333359	9	9	1	1	2	4763691008	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	27	1998	30.726139	74.666931	0	13.910821	15.889477	71.895103	7.3285933	60.860401	2.2649665	48.474628	56.60281	64.085899	8.0079565	6.3886681	9	9	1	1	1.2	8089218560	81.199165	0	13.910821	15.780651	73.626884	6.9852476	57.8708	2.2519417	48.723969	51.885841	87.650703	6.2011538	11.365054	9	9	1	1	2	5884033536	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	27	2003	34.245697	85.772705	0	13.910821	15.989926	68.520531	7.5950732	63.247002	2.0342457	54.330425	55.653168	65.834358	8.5844431	4.9858699	8.3999996	7.8000002	1	1	2.4000001	8476954624	74.666931	0	13.910821	15.889477	71.895103	7.3285933	60.860401	2.2649665	48.474628	56.60281	64.085899	8.0079565	6.3886681	9	9	1	1	1.2	8089218560	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	27	2008	34.528366	74.675201	0	13.910821	16.079107	63.271107	7.8112149	65.514999	1.2481674	75.521057	55.35965	42.326	8.6909609	7.5551739	7.5999999	7	1	1	3	15646889984	85.772705	0	13.910821	15.989926	68.520531	7.5950732	63.247002	2.0342457	54.330425	55.653168	65.834358	8.5844431	4.9858699	8.3999996	7.8000002	1	1	2.4000001	8476954624	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	32	1988	29.662825	98.558182	0	13.247639	14.076688	87.803123	4.9150772	35.8494	3.2051282	113.4049	56.008572	25.62138	7.0684676	13.880244	6.8000002	9	0	1	1.6	2230449408	100	0	13.247639	13.909161	90.896919	4.7387362	22.625999	3.8676238	122.84258	55.236347	26.991039	6.4890342	10.134658	6	9	0	1	2	903241728	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
