period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12
4	118	1988	54.249752	90.326767	6	9.9822989	15.273584	54.018524	14.713693	90.146599	2.2847412	68.012321	40.74968	147.34261	7.5801206	25.191481	9	9	0	0	2	9.2588511	92.569603	5.1999998	9.9822989	15.191422	56.617836	14.883012	89.330002	1.5006254	75.898361	40.183601	247.80034	7.1060214	209.4744	9	9	0	0	2	8.8573093	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5	118	1993	47.377254	86.40995	2	9.9822989	15.419605	49.14407	15.470942	90.6632	3.1994328	63.251881	41.944382	114.795	8.2580938	14.90321	9	9	0	0	1.4	9.6533365	90.326767	6	9.9822989	15.273584	54.018524	14.713693	90.146599	2.2847412	68.012321	40.74968	147.34261	7.5801206	25.191481	9	9	0	0	2	9.2588511	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
6	118	1998	50.373932	87.602516	2	9.9822989	15.565928	45.981419	16.140867	91.068199	2.7568762	67.16922	43.826729	95.919998	9.4378862	6.6005578	9.3999996	9.3999996	.80000001	0	1	9.872776	86.40995	2	9.9822989	15.419605	49.14407	15.470942	90.6632	3.1994328	63.251881	41.944382	114.795	8.2580938	14.90321	9	9	0	0	1.4	9.6533365	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7	118	2003	49.771755	93.040947	2	9.9822989	15.665112	45.066906	16.182114	91.391998	1.8381157	76.736954	44.849037	95.728416	10.02521	1.2908884	10	10	.2	0	1	9.8687725	87.602516	2	9.9822989	15.565928	45.981419	16.140867	91.068199	2.7568762	67.16922	43.826729	95.919998	9.4378862	6.6005578	9.3999996	9.3999996	.80000001	0	1	9.872776	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
3	123	1983	26.870132	100	0	11.387815	14.769539	98.270859	7.8079281	63.730999	3.4119895	125.99454	36.724289	38.074799	6.3584733	5.8276548	-9.6000004	1	1	1	5.5999999	7.5068054	100	0	11.387815	14.594251	100.11525	7.1138353	59.023399	4.1161237	118.72676	38.23571	38.178082	5.0618186	5.3960438	-10	1	1	1	6	7.0490937	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4	123	1988	29.251131	100	0	11.387815	14.957995	95.690178	7.5676208	69.841003	4.2487288	115.78963	38.819405	219.73399	6.5687742	8.427	-7	3	1	1	5.1999998	7.4243841	100	0	11.387815	14.769539	98.270859	7.8079281	63.730999	3.4119895	125.99454	36.724289	38.074799	6.3584733	5.8276548	-9.6000004	1	1	1	5.5999999	7.5068054	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5	123	1993	32.000359	100	0	11.387815	15.199294	81.065903	6.2251506	75.910599	5.6123843	130.07671	45.526192	145.6976	6.5200448	3.9289939	-2.4000001	8.3999996	1	1	3.8	7.2359366	100	0	11.387815	14.957995	95.690178	7.5676208	69.841003	4.2487288	115.78963	38.819405	219.73399	6.5687742	8.427	-7	3	1	1	5.1999998	7.4243841	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
6	123	1998	32.49995	100	0	11.387815	15.358496	71.34935	5.7572474	79.230797	2.7111821	115.19942	39.025131	107.695	7.3687253	1.700487	-2	9	1	1	4	7.4092836	100	0	11.387815	15.199294	81.065903	6.2251506	75.910599	5.6123843	130.07671	45.526192	145.6976	6.5200448	3.9289939	-2.4000001	8.3999996	1	1	3.8	7.2359366	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7	123	2003	34.311161	100	0	11.387815	15.444366	64.692993	5.9861312	80.629402	2.3868039	124.11362	40.371578	94.393661	8.691781	1.7867264	-2	9	1	1	5.1999998	7.625474	100	0	11.387815	15.358496	71.34935	5.7572474	79.230797	2.7111821	115.19942	39.025131	107.695	7.3687253	1.700487	-2	9	1	1	4	7.4092836	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
8	123	2008	36.167862	96.73671	0	11.390256	15.579387	63.518909	6.4817977	81.954597	2.1323309	132.27498	39.367809	68.331779	9.8323708	9.364974	-2.8	8.1999998	1	1	5.4000001	8.1603222	100	0	11.387815	15.444366	64.692993	5.9861312	80.629402	2.3868039	124.11362	40.371578	94.393661	8.691781	1.7867264	-2	9	1	1	5.1999998	7.625474	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
