period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	cc3	cc10	cc13	cc14	cc27	cc32	cc34	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc73	cc74	cc75	cc79	cc82	cc83	cc84	cc93	cc96	cc101	cc112	cc113	cc114	cc116	cc118	cc119	cc121	cc122	cc123	cc125	cc136	cc143	cc144	cc145	cc152	cc154	cc158	cc161	cc164	cc166	cc167	cc171	cc172	cc174	cc178	cc180	cc183	cc186	cc187	cc188	cc191	cc217	cc219	cc220	cc225	cc227	cc228	cc233	cc234	cc240	cc246	cc247	cc248	cc256	cc257	cc258	cc262	cc274
4	51	2005.5	21.109564	94.074646	0	13.519167	16.612349	36.700859	12.29911	87.683296	1.2916666	70.468742	51.130325	9.1623316	11.250758	5.9749608	9.5	9.5	1	1	1.2	8.9275455	92.712082	0	13.519167	16.481653	45.636158	10.48942	84.624001	1.4835165	55.076778	52.196457	37.035332	10.049909	9.2863512	8.1000004	9	1	1	2.0999999	8.4058666	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	56	1985.5	8.3700714	82.732849	0	13.910821	17.224566	66.00016	7.1000867	65.694	2.0407548	22.887772	51.450096	28.272079	7.9349418	24.608801	8	9	1	0	2.2	7.4736099	75.316345	0	13.910821	17.003601	81.382057	7.0380454	58.869801	2.5668006	23.491583	57.722267	16.781023	6.9633732	21.54821	7.6999998	9	1	0	2	6.7976685	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	56	1995.5	13.056895	92.943153	0	13.910821	17.416874	56.818211	7.4202542	70.535698	1.9504784	29.077629	51.838207	29.974955	9.167655	23.34409	7.8000002	7.8000002	1	0	3.2	7.837769	82.732849	0	13.910821	17.224566	66.00016	7.1000867	65.694	2.0407548	22.887772	51.450096	28.272079	7.9349418	24.608801	8	9	1	0	2.2	7.4736099	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	56	2005.5	31.452711	83.267326	0	13.910821	17.582642	47.568226	8.00704	73.711502	1.4140508	35.565186	52.193756	38.40234	10.532791	5.7790942	7	7	1	0	3.4000001	8.1897278	92.943153	0	13.910821	17.416874	56.818211	7.4202542	70.535698	1.9504784	29.077629	51.838207	29.974955	9.167655	23.34409	7.8000002	7.8000002	1	0	3.2	7.837769	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	59	1985.5	17.612379	99.695915	0	10.840756	14.816588	61.137505	8.5107374	46.606201	3.0417387	66.654602	47.853813	91.74955	5.2762136	30.797741	10	10	1	0	1	7.509975	100	0	10.840756	14.550293	75.391487	8.8373089	41.369598	2.5126073	61.403133	56.638264	33.100391	4.6839552	14.087959	10	10	1	0	1	7.2268682	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	59	1995.5	21.623415	100	0	10.840756	15.06863	55.751602	8.6282806	55.7425	2.3291488	83.540016	43.90321	40.195377	6.8296962	15.976233	10	10	1	0	1	8.0910301	99.695915	0	10.840756	14.816588	61.137505	8.5107374	46.606201	3.0417387	66.654602	47.853813	91.74955	5.2762136	30.797741	10	10	1	0	1	7.509975	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	59	2005.5	24.061117	98.211807	0	10.840756	15.284455	41.811672	9.0305128	61.916401	1.8878523	93.907089	46.526905	39.02702	8.7863913	9.7661552	10	10	1	0	1	8.5563374	100	0	10.840756	15.06863	55.751602	8.6282806	55.7425	2.3291488	83.540016	43.90321	40.195377	6.8296962	15.976233	10	10	1	0	1	8.0910301	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	63	2005.5	43.689632	101.08527	0	9.1312971	13.537861	28.518467	15.607795	69.544899	1.5892241	99.284012	46.467442	62.436508	9.3983793	2.9365597	10	10	1	0	1	10.012259	101.75071	0	9.1312971	13.385268	36.644413	15.353993	67.968597	2.0956507	105.11058	40.618328	47.992432	7.603868	4.188252	10	10	1	0	1	9.444418	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	68	1985.5	38.290504	56.455475	0	10.654526	15.444751	27.77582	22.778124	84.373001	0	70.599976	47.704338	56.877731	8.6568804	5.7416692	10	10	0	0	1	9.6646671	54.647263	0	10.654243	15.436831	34.693478	20.978403	82.137299	.40408164	61.968735	49.057938	10.341846	8.1101913	9.7408142	10	10	0	0	1	8.9718447	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	68	1995.5	38.942886	62.727531	0	10.655517	15.473693	26.200476	22.594633	84.988098	.38838613	73.227966	47.515968	65.958176	10.07344	1.76715	10	10	0	0	1	10.336542	56.455475	0	10.654526	15.444751	27.77582	22.778124	84.373001	0	70.599976	47.704338	56.877731	8.6568804	5.7416692	10	10	0	0	1	9.6646671	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	68	2005.5	35.77301	66.031227	0	10.655611	15.511051	28.072866	23.244783	85.986504	.37386444	93.570297	48.821507	47.493328	11.510195	2.5223856	10	10	0	0	1	10.746465	62.727531	0	10.655517	15.473693	26.200476	22.594633	84.988098	.38838613	73.227966	47.515968	65.958176	10.07344	1.76715	10	10	0	0	1	10.336542	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	71	1995.5	12.179639	98.591125	0	10.785601	15.89111	62.316528	8.0005836	58.367001	1.9125972	78.834412	47.693127	32.147499	7.2314711	16.145636	6.8000002	8	1	1	2.7	7.5977392	99.839577	0	10.785601	15.694493	70.910561	6.1949077	53.757999	2.1890252	91.820343	46.383621	47.423641	6.2154627	23.136597	6	7	1	1	1.1	7.1224322	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	71	2005.5	16.784355	100	0	10.785601	16.047903	53.357437	9.6279163	65.911598	1.403585	69.207314	48.54129	31.492649	9.0370045	12.106267	8	9	1	1	2.0999999	8.1619091	98.591125	0	10.785601	15.89111	62.316528	8.0005836	58.367001	1.9125972	78.834412	47.693127	32.147499	7.2314711	16.145636	6.8000002	8	1	1	2.7	7.5977392	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	73	1995.5	14.349413	100	0	12.498627	16.247381	61.234856	7.883184	57.9907	2.7424242	55.256748	49.686813	76.084999	8.1908827	.47651401	8.6000004	8.8000002	1	0	2.2	7.3434606	100	0	12.531195	16.031288	73.962456	7.4701581	51.526699	2.3871219	50.308193	45.338577	68.799187	7.0271268	-3.6520669	8.6000004	9	1	0	2	7.2283473	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	74	1985.5	33.079987	100	0	13.81095	17.750767	76.381332	6.5561676	43.784	2.2127848	55.500172	35.093975	112.53199	8.6996841	13.33976	-6	2	0	1	4.8000002	7.0036492	100	.30000001	13.81095	17.519693	79.588165	6.297111	43.325199	2.2594447	45.290699	38.447498	79.977364	5.1882796	11.180011	-6.5	1.5	0	1	5.4444447	5.8205414	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	74	1995.5	29.651905	100	0	13.81095	17.951101	67.112305	7.1571369	42.9417	1.656633	48.887871	37.704605	95.503197	9.5835714	8.9169998	-6	2	0	1	5.8000002	6.9601226	100	0	13.81095	17.750767	76.381332	6.5561676	43.784	2.2127848	55.500172	35.093975	112.53199	8.6996841	13.33976	-6	2	0	1	4.8000002	7.0036492	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	74	2005.5	31.979374	100	0	13.81095	18.130264	53.363434	7.6269226	43.0854	1.686075	56.119198	34.002766	91.644753	10.445604	8.3152618	-4.1999998	4.4000001	.5	1	6	7.3393192	100	0	13.81095	17.951101	67.112305	7.1571369	42.9417	1.656633	48.887871	37.704605	95.503197	9.5835714	8.9169998	-6	2	0	1	5.8000002	6.9601226	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
