period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40
7	51	2003	22.060163	95.100159	0	13.519167	16.588099	39.390438	11.711746	86.952202	1.3333334	67.291031	51.64732	12.3316	10.891338	5.7903061	9	9	1	1	1.4	8.585515	91.503059	0	13.519167	16.523561	44.525269	10.900227	85.316399	1.4285715	55.735371	52.704826	22.986799	10.526471	4.3266821	8.1999998	9	1	1	2.2	8.5721731	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	51	2008	22.839701	93.049133	0	13.519167	16.636599	34.01128	12.886475	88.414398	1.25	73.646446	50.484085	5.9930639	11.610178	6.159615	10	10	1	1	1	9.2695761	95.100159	0	13.519167	16.588099	39.390438	11.711746	86.952202	1.3333334	67.291031	51.64732	12.3316	10.891338	5.7903061	9	9	1	1	1.4	8.585515	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	59	1993	21.047153	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	59	1998	22.199675	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	59	2003	24.782099	97.822128	0	10.840756	15.240724	45.150921	8.8090878	60.638802	1.9768158	93.888687	46.387657	42.144402	8.3378019	9.7079077	10	10	1	0	1	8.363307	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	63	1993	31.86286	100.55762	0	9.1312971	13.343719	38.360226	15.430935	67.533203	2.2157359	104.82491	38.238415	36.525051	7.2705584	5.6092501	10	10	1	0	1	9.3646669	100	0	9.1312971	13.238064	39.114719	15.286086	65.936798	1.7279595	107.18658	36.80904	31.187241	6.8328934	4.2782159	10	10	1	0	1	8.9449444	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	63	1998	36.677711	102.9438	0	9.1312971	13.426817	34.928604	15.277052	68.403999	1.9755652	105.39626	42.998245	57.16634	7.9371777	2.7672541	10	10	1	0	1	9.524169	100.55762	0	9.1312971	13.343719	38.360226	15.430935	67.533203	2.2157359	104.82491	38.238415	36.525051	7.2705584	5.6092501	10	10	1	0	1	9.3646669	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	63	2003	42.307938	101.75887	0	9.1312971	13.493981	30.553185	15.286609	69.125603	1.1784482	101.99002	45.660801	66.713478	8.9804401	3.0534959	10	10	1	0	1	9.7815609	102.9438	0	9.1312971	13.426817	34.928604	15.277052	68.403999	1.9755652	105.39626	42.998245	57.16634	7.9371777	2.7672541	10	10	1	0	1	9.524169	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	63	2008	44.171635	100.41167	0	9.1312971	13.581741	26.483751	15.928982	69.964203	2	96.578011	47.475742	58.159538	9.8163185	2.8196235	10	10	1	0	1	10.242956	101.75887	0	9.1312971	13.493981	30.553185	15.286609	69.125603	1.1784482	101.99002	45.660801	66.713478	8.9804401	3.0534959	10	10	1	0	1	9.7815609	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	68	1978	60.576118	54.032318	0	10.65429	15.444751	33.624126	21.78845	83.092201	0	63.168736	48.90181	14.772842	8.4180641	8.5747681	10	10	0	0	1	9.3234167	55.415939	0	10.654196	15.428909	35.762833	20.168356	81.182404	.80816329	60.768734	49.214062	5.91085	7.8023181	10.90686	10	10	0	0	1	8.6202726	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	68	1983	69.637573	56.943787	0	10.654432	15.444751	29.491972	22.550127	84.0998	0	73.80529	48.545467	54.11248	8.2979431	7.647038	10	10	0	0	1	9.3603315	54.032318	0	10.65429	15.444751	33.624126	21.78845	83.092201	0	63.168736	48.90181	14.772842	8.4180641	8.5747681	10	10	0	0	1	9.3234167	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	68	1988	66.004753	55.967163	0	10.65462	15.444751	26.059668	23.006121	84.646202	0	67.394653	46.863209	59.642979	9.0158186	3.8362999	10	10	0	0	1	9.9690027	56.943787	0	10.654432	15.444751	29.491972	22.550127	84.0998	0	73.80529	48.545467	54.11248	8.2979431	7.647038	10	10	0	0	1	9.3603315	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	68	1993	69.050102	59.159302	0	10.655422	15.46417	25.424168	22.865904	84.924599	.39215687	70.051064	47.860664	64.906502	9.7281494	1.561748	10	10	0	0	1	10.283306	55.967163	0	10.65462	15.444751	26.059668	23.006121	84.646202	0	67.394653	46.863209	59.642979	9.0158186	3.8362999	10	10	0	0	1	9.9690027	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
