period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc13	cc45	cc51	cc56	cc59	cc68	cc74	cc75	cc83	cc84	cc96	cc101	cc116	cc119	cc161	cc167	cc171	cc178	cc188	cc191	cc219	cc227	cc233	cc248	cc256	cc257
6	56	1998	16.354797	85.886314	0	13.910821	17.463217	54.476925	7.4957538	71.451401	1.5796769	29.788164	53.329502	30.80625	9.5612211	18.573099	7	7	1	0	3.8	7.9792914	100	0	13.910821	17.370531	59.1595	7.3447552	69.620003	2.32128	28.367094	50.346912	29.309919	8.7740879	28.11508	8.6000004	8.6000004	1	0	2.5999999	7.6962466	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	56	2003	30.675293	83.090019	0	13.910821	17.543308	49.757042	7.7606831	72.9786	1.4639953	34.979523	51.935448	42.381882	10.000927	6.4312439	7	7	1	0	3.8	7.87117	85.886314	0	13.910821	17.463217	54.476925	7.4957538	71.451401	1.5796769	29.788164	53.329502	30.80625	9.5612211	18.573099	7	7	1	0	3.8	7.9792914	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	56	2008	32.230129	83.444626	0	13.910821	17.621975	45.379406	8.253397	74.444397	1.3641062	36.150848	52.51664	34.422798	11.064655	5.1269441	7	7	1	0	3	8.5082855	83.090019	0	13.910821	17.543308	49.757042	7.7606831	72.9786	1.4639953	34.979523	51.935448	42.381882	10.000927	6.4312439	7	7	1	0	3.8	7.87117	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	59	1978	15.545707	100	0	10.840756	14.612445	69.212326	8.5810146	42.398998	1.8614719	59.046642	56.160702	42.24308	5.0177665	13.88573	10	10	1	0	1	7.5970345	100	0	10.840756	14.48814	81.570648	9.0936041	40.340199	3.1637428	63.759628	57.593391	23.957701	4.3501439	14.290188	10	10	1	0	1	6.8567023	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	59	1983	15.889074	100	0	10.840756	14.746873	61.753735	8.5244112	44.5774	3.2721293	69.800781	50.799915	101.78234	4.9817696	44.653419	10	10	1	0	1	7.3589668	100	0	10.840756	14.612445	69.212326	8.5810146	42.398998	1.8614719	59.046642	56.160702	42.24308	5.0177665	13.88573	10	10	1	0	1	7.5970345	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	59	1988	19.335684	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	100	0	10.840756	14.746873	61.753735	8.5244112	44.5774	3.2721293	69.800781	50.799915	101.78234	4.9817696	44.653419	10	10	1	0	1	7.3589668	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	59	1993	21.047153	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	59	1998	22.199675	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	59	2003	24.236475	97.822128	0	10.840756	15.240724	45.150921	8.8090878	60.638802	1.9768158	93.888687	46.387657	42.144402	8.3378019	9.7079077	10	10	1	0	1	8.363307	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	59	2008	23.885759	98.601486	0	10.840756	15.328186	38.472424	9.2519379	63.194	1.7988888	93.925499	46.700966	35.909641	9.2349806	9.8244019	10	10	1	0	1	8.7493677	97.822128	0	10.840756	15.240724	45.150921	8.8090878	60.638802	1.9768158	93.888687	46.387657	42.144402	8.3378019	9.7079077	10	10	1	0	1	8.363307	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
