period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21
5	83	1993	40.776924	64.883186	0	12.626722	15.436831	28.674416	20.775515	80.3246	.40000001	56.767712	37.639591	45.54398	8.5526304	2.1007338	10	10	0	0	1	9.983963	61.245419	0	12.626722	15.416867	28.559944	19.213493	77.943398	.40816328	48.897728	36.718899	15.7458	8.0291719	5.7207541	10	10	0	0	1.2	9.9378128	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	83	1998	35.810883	67.022629	0	12.626722	15.456402	27.715694	21.834017	81.695	.39215687	70.636429	43.187084	49.168861	9.5731201	1.7167758	10	10	0	0	1	10.109635	64.883186	0	12.626722	15.436831	28.674416	20.775515	80.3246	.40000001	56.767712	37.639591	45.54398	8.5526304	2.1007338	10	10	0	0	1	9.983963	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	83	2003	35.634682	72.063133	0	12.626722	15.46417	26.495062	23.210928	82.616203	0	73.735497	47.689888	42.937901	10.643261	.9084602	10	10	0	0	1	10.327182	67.022629	0	12.626722	15.456402	27.715694	21.834017	81.695	.39215687	70.636429	43.187084	49.168861	9.5731201	1.7167758	10	10	0	0	1	10.109635	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	83	2008	36.881977	71.960793	0	12.624717	15.486956	25.308689	24.978861	83.296799	.76197386	83.003403	47.767551	40.214981	11.328174	1.7197398	10	10	0	0	1	10.715929	72.063133	0	12.626722	15.46417	26.495062	23.210928	82.616203	0	73.735497	47.689888	42.937901	10.643261	.9084602	10	10	0	0	1	10.327182	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	84	1978	35.457058	92.583549	0	13.213428	17.815504	36.437027	21.903543	73.139603	.37037036	41.33403	40.63385	16.945299	9.5854979	10.131396	8	10	0	1	1	9.1205683	100	0	13.213428	17.789469	38.967659	21.177118	72.177597	.76197386	35.58453	42.465721	17.02038	8.3210192	9.098052	8	10	0	1	1	8.4316339	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	84	1983	41.083328	87.453354	0	13.213428	17.840799	33.324215	20.422165	73.5028	.72077924	47.075829	35.319813	26.754499	10.198635	9.1984081	8	10	0	1	1	9.2075062	92.583549	0	13.213428	17.815504	36.437027	21.903543	73.139603	.37037036	41.33403	40.63385	16.945299	9.5854979	10.131396	8	10	0	1	1	9.1205683	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	84	1988	40.721077	85.602661	0	13.213428	17.868998	31.092379	20.406725	73.8936	.3508772	42.870323	39.051323	33.360958	11.779023	3.440352	9	10	0	1	1	9.7353401	87.453354	0	13.213428	17.840799	33.324215	20.422165	73.5028	.72077924	47.075829	35.319813	26.754499	10.198635	9.1984081	8	10	0	1	1	9.2075062	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	84	1993	44.357468	85.227058	0	13.213428	17.889629	30.096418	22.478512	74.569603	.68381065	42.98732	47.710949	45.382622	12.531362	1.737826	9	10	0	1	1	10.051267	85.602661	0	13.213428	17.868998	31.092379	20.406725	73.8936	.3508772	42.870323	39.051323	33.360958	11.779023	3.440352	9	10	0	1	1	9.7353401	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	84	1998	46.592155	87.642097	0	13.213428	17.91316	29.320581	24.151005	76.101799	.33333334	50.3484	45.161114	58.630718	13.016353	1.031626	9	10	0	1	1	10.087535	85.227058	0	13.213428	17.889629	30.096418	22.478512	74.569603	.68381065	42.98732	47.710949	45.382622	12.531362	1.737826	9	10	0	1	1	10.051267	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	84	2003	46.019859	86.856987	0	13.213425	17.942593	28.488239	25.056013	79.691002	.65044951	53.046005	49.222717	62.175179	13.323471	1.963202	9	10	0	1	1	10.234266	87.642097	0	13.213428	17.91316	29.320581	24.151005	76.101799	.33333334	50.3484	45.161114	58.630718	13.016353	1.031626	9	10	0	1	1	10.087535	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	84	2008	46.673023	85.734062	0	13.21341	17.974344	28.236656	25.473652	83.759399	.6299603	53.64563	51.289398	71.545517	13.870057	1.7894052	9	10	0	1	1	10.598432	86.856987	0	13.213425	17.942593	28.488239	25.056013	79.691002	.65044951	53.046005	49.222717	62.175179	13.323471	1.963202	9	10	0	1	1	10.234266	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	93	1998	31.731733	66.170311	0	12.762878	18.222229	23.464674	23.227537	73.154602	0	56.467026	47.276054	59.809879	12.35026	.20213559	10	10	0	1	1	10.170842	59.328384	0	12.763165	18.207445	23.571543	22.159008	73.218803	.75007814	47.58271	46.948601	46.20808	11.313795	3.394536	10	10	0	1	1	10.163696	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7	93	2003	31.902987	66.560318	0	12.762311	18.227077	22.00152	26.687117	73.239799	.0029385835	70.287064	51.062397	63.384621	13.279296	1.0685964	10	10	0	1	1	10.249834	66.170311	0	12.762878	18.222229	23.464674	23.227537	73.154602	0	56.467026	47.276054	59.809879	12.35026	.20213559	10	10	0	1	1	10.170842	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8	93	2008	30.339106	66.240379	0	12.761795	18.227077	20.681292	30.078335	73.630997	0	86.208755	54.40213	71.075478	13.746892	.98604178	10	10	0	1	1	10.592058	66.560318	0	12.762311	18.227077	22.00152	26.687117	73.239799	.0029385835	70.287064	51.062397	63.384621	13.279296	1.0685964	10	10	0	1	1	10.249834	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	96	1978	20.970093	100	0	11.766792	16.053921	36.382103	20.054573	56.763199	1.3001817	44.449627	45.460297	22.5735	7.2353663	16.673401	8	10	0	1	1.8	8.3906097	100	0	11.766792	16.003771	38.064407	18.590666	54.185799	.45199183	36.735405	47.888332	24.01292	6.0849056	12.966496	-2.4000001	3.25	0	1	4.25	7.7104001	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
