period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57	cc58	cc59	cc60	cc61	cc62
3	45	1983	23.160271	47.403988	0	16.023785	17.050076	31.822815	14.497365	76.077599	.80000001	51.25034	38.639256	57.30946	11.04132	6.4231858	10	10	0	1	1	9.4716177	77.149994	0	16.023785	16.993217	35.830948	13.459776	75.642197	1.7028985	49.75708	36.826576	45.548481	10.719354	8.5907078	10	10	0	1	1	9.1485271	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	45	1988	23.702297	44.607338	0	16.023785	17.111073	30.604544	15.927623	76.490799	1.5099715	52.541344	38.82811	72.193619	11.4784	4.0743361	10	10	0	1	1	9.784832	47.403988	0	16.023785	17.050076	31.822815	14.497365	76.077599	.80000001	51.25034	38.639256	57.30946	11.04132	6.4231858	10	10	0	1	1	9.4716177	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	45	1993	25.367357	49.365067	0	16.023785	17.16877	30.335236	17.290426	77.237801	.71428573	60.813988	40.320194	93.691544	12.071505	1.91399	10	10	0	1	1	9.912796	44.607338	0	16.023785	17.111073	30.604544	15.927623	76.490799	1.5099715	52.541344	38.82811	72.193619	11.4784	4.0743361	10	10	0	1	1	9.784832	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	45	1998	20.280117	46.49593	0	16.023785	17.223267	28.929882	18.151485	78.756798	1.3563218	79.752922	42.211491	93.3395	12.52867	1.764714	10	10	0	1	1	9.9790487	49.365067	0	16.023785	17.16877	30.335236	17.290426	77.237801	.71428573	60.813988	40.320194	93.691544	12.071505	1.91399	10	10	0	1	1	9.912796	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	45	2003	18.417442	45.068367	0	16.023785	17.268547	26.430641	18.661287	79.864403	.64516127	75.391846	43.236797	76.796761	12.963113	2.53476	10	10	0	1	1	10.228035	46.49593	0	16.023785	17.223267	28.929882	18.151485	78.756798	1.3563218	79.752922	42.211491	93.3395	12.52867	1.764714	10	10	0	1	1	9.9790487	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	45	2008	17.72159	44.560879	0	16.023785	17.323959	24.231792	19.619421	80.381203	1.2310606	65.272972	42.766453	75.028458	13.616703	2.0685439	10	10	0	1	1	10.659899	45.068367	0	16.023785	17.268547	26.430641	18.661287	79.864403	.64516127	75.391846	43.236797	76.796761	12.963113	2.53476	10	10	0	1	1	10.228035	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	59	1988	19.335684	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	100	0	10.840756	14.746873	61.753735	8.5244112	44.5774	3.2721293	69.800781	50.799915	101.78234	4.9817696	44.653419	10	10	1	0	1	7.3589668	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	59	1993	21.047153	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	59	1998	22.199675	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	63	1993	32.049099	100.55762	0	9.1312971	13.343719	38.360226	15.430935	67.533203	2.2157359	104.82491	38.238415	36.525051	7.2705584	5.6092501	10	10	1	0	1	9.3646669	100	0	9.1312971	13.238064	39.114719	15.286086	65.936798	1.7279595	107.18658	36.80904	31.187241	6.8328934	4.2782159	10	10	1	0	1	8.9449444	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	63	1998	37.75798	102.9438	0	9.1312971	13.426817	34.928604	15.277052	68.403999	1.9755652	105.39626	42.998245	57.16634	7.9371777	2.7672541	10	10	1	0	1	9.524169	100.55762	0	9.1312971	13.343719	38.360226	15.430935	67.533203	2.2157359	104.82491	38.238415	36.525051	7.2705584	5.6092501	10	10	1	0	1	9.3646669	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	63	2003	43.03841	101.75887	0	9.1312971	13.493981	30.553185	15.286609	69.125603	1.1784482	101.99002	45.660801	66.713478	8.9804401	3.0534959	10	10	1	0	1	9.7815609	102.9438	0	9.1312971	13.426817	34.928604	15.277052	68.403999	1.9755652	105.39626	42.998245	57.16634	7.9371777	2.7672541	10	10	1	0	1	9.524169	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	68	2003	33.987255	62.662079	0	10.655611	15.501909	28.267084	22.460171	85.553596	.3773585	87.895477	45.98859	54.448021	11.341936	2.3298039	10	10	0	0	1	10.553508	66.295753	0	10.655611	15.483217	26.976784	22.323362	85.051598	.38461539	76.404877	47.171276	67.272774	10.41873	1.9725519	10	10	0	0	1	10.389779	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	74	1978	45.354172	100	0	13.81095	17.57617	78.840248	6.3357196	43.695599	2.383657	55.131283	38.098724	101.2583	6.3638897	14.744474	-6	2	0	1	5	6.0604506	100	.60000002	13.81095	17.463217	80.336082	6.258502	42.9548	2.1352324	35.450111	38.796272	58.696419	4.0126696	7.6155481	-7	1	0	1	6	5.5806317	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
