period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57
3	51	1983	29.337038	92.829506	0	13.519167	16.283014	50.403168	9.2445889	82.071602	1.8181819	44.047009	52.139523	81.4888	8.4901543	19.110701	-6.4000001	1.6	1	1	6	7.6275043	96.499435	.60000002	13.519167	16.213406	57.647247	9.281847	80.100197	2	44.659912	52.885593	48.51226	8.3972092	97.711723	-7	1	1	1	6.4000001	7.4098945	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	51	1988	20.525665	95.462311	0	13.519167	16.36445	47.378899	9.4655542	83.012199	1.6666666	56.698441	52.523689	117.01622	8.6852694	21.316879	.60000002	6	1	1	4.5999999	7.6551046	92.829506	0	13.519167	16.283014	50.403168	9.2445889	82.071602	1.8181819	44.047009	52.139523	81.4888	8.4901543	19.110701	-6.4000001	1.6	1	1	6	7.6275043	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	59	1978	15.545707	100	0	10.840756	14.612445	69.212326	8.5810146	42.398998	1.8614719	59.046642	56.160702	42.24308	5.0177665	13.88573	10	10	1	0	1	7.5970345	100	0	10.840756	14.48814	81.570648	9.0936041	40.340199	3.1637428	63.759628	57.593391	23.957701	4.3501439	14.290188	10	10	1	0	1	6.8567023	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	59	1983	15.889074	100	0	10.840756	14.746873	61.753735	8.5244112	44.5774	3.2721293	69.800781	50.799915	101.78234	4.9817696	44.653419	10	10	1	0	1	7.3589668	100	0	10.840756	14.612445	69.212326	8.5810146	42.398998	1.8614719	59.046642	56.160702	42.24308	5.0177665	13.88573	10	10	1	0	1	7.5970345	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	59	1988	19.462109	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	100	0	10.840756	14.746873	61.753735	8.5244112	44.5774	3.2721293	69.800781	50.799915	101.78234	4.9817696	44.653419	10	10	1	0	1	7.3589668	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	59	1993	21.047153	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	99.39183	0	10.840756	14.886303	60.521271	8.4970627	48.634998	2.8113482	63.508427	44.907711	81.716759	5.5706577	16.94206	10	10	1	0	1	7.6609831	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	59	1998	22.199675	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	100	0	10.840756	15.008513	58.685448	8.5810184	53.746601	2.4644573	75.673973	43.50668	40.486279	6.2630343	18.998779	10	10	1	0	1	7.9528718	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	59	2003	24.782099	97.822128	0	10.840756	15.240724	45.150921	8.8090878	60.638802	1.9768158	93.888687	46.387657	42.144402	8.3378019	9.7079077	10	10	1	0	1	8.363307	100	0	10.840756	15.128746	52.817757	8.6755419	57.7384	2.1938405	91.406059	44.29974	39.831749	7.396358	12.953686	10	10	1	0	1	8.2291889	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	59	2008	24.266926	98.601486	0	10.840756	15.328186	38.472424	9.2519379	63.194	1.7988888	93.925499	46.700966	35.909641	9.2349806	9.8244019	10	10	1	0	1	8.7493677	97.822128	0	10.840756	15.240724	45.150921	8.8090878	60.638802	1.9768158	93.888687	46.387657	42.144402	8.3378019	9.7079077	10	10	1	0	1	8.363307	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	63	1993	31.86286	100.55762	0	9.1312971	13.343719	38.360226	15.430935	67.533203	2.2157359	104.82491	38.238415	36.525051	7.2705584	5.6092501	10	10	1	0	1	9.3646669	100	0	9.1312971	13.238064	39.114719	15.286086	65.936798	1.7279595	107.18658	36.80904	31.187241	6.8328934	4.2782159	10	10	1	0	1	8.9449444	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
