period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	per09	per10	per11	per12	per13	cc3	cc6	cc10	cc13	cc14	cc18	cc21	cc24	cc26	cc27	cc32	cc34	cc42	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc73	cc74	cc75	cc79	cc82	cc83	cc84	cc91	cc93	cc94	cc96	cc101	cc102	cc108	cc112	cc113	cc114	cc116	cc118	cc119	cc120	cc121	cc122	cc123	cc125	cc136	cc143	cc144	cc145	cc147	cc152	cc154	cc158	cc161	cc164	cc166	cc167	cc171	cc172	cc174	cc178	cc180	cc183	cc185	cc186	cc187	cc188	cc191	cc198	cc213	cc217	cc219	cc220	cc225	cc227	cc228	cc232	cc233	cc234	cc240	cc246	cc247	cc248	cc252	cc256	cc257	cc258	cc262	cc274	cc276
8	10	1994	26.388647	57.584972	0	14.808763	17.351534	48.07785	15.291201	88.32	.98039216	18.038874	44.851276	32.842232	10.028111	8.7619867	7	9	1	0	2	8.89324	55.733799	0	14.808763	17.32197	50.202862	14.923344	87.318001	2.0517676	14.429263	44.01878	46.6301	9.3972826	740.55463	7	9	1	0	1.3333334	8.6183605	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	10	1997	26.174986	58.600502	0	14.808763	17.389639	46.349018	15.60674	89.242401	.95238096	22.73089	47.065655	35.883568	10.615393	-.74052334	7	9	1	0	2.3333333	8.9948597	57.584972	0	14.808763	17.351534	48.07785	15.291201	88.32	.98039216	18.038874	44.851276	32.842232	10.028111	8.7619867	7	9	1	0	2	8.89324	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	2000	29.724745	57.238461	0	14.808763	17.426428	44.831333	15.842709	90.110733	.92592591	21.883476	48.285057	47.217766	11.147909	-.63168001	8	9	1	0	2	8.9296017	58.600502	0	14.808763	17.389639	46.349018	15.60674	89.242401	.95238096	22.73089	47.065655	35.883568	10.615393	-.74052334	7	9	1	0	2.3333333	8.9948597	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	10	2003	29.690926	65.77227	0	14.808763	17.453096	42.829632	15.963866	90.879204	.9009009	41.246559	48.919533	143.77299	10.775154	16.325546	8	9	1	0	2.3333333	8.1105633	57.238461	0	14.808763	17.426428	44.831333	15.842709	90.110733	.92592591	21.883476	48.285057	47.217766	11.147909	-.63168001	8	9	1	0	2	8.9296017	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	13	1976	31.064758	64.472267	0	15.85673	16.454567	42.218559	13.938442	85.888802	0	27.963091	31.894978	22.216133	9.3757048	13.964033	10	10	0	1	1	9.0019703	64.900978	0	15.85673	16.405163	44.343857	13.467861	85.6586	2.5641026	26.898197	33.753712	26.4048	9.2166166	10.527933	10	10	0	1	1	8.694252	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	13	1979	32.884769	63.519577	0	15.85673	16.500563	39.629673	14.562086	85.792198	2.3809524	31.24229	35.303539	22.205099	10.01415	8.9575596	10	10	0	1	1	9.2572355	64.472267	0	15.85673	16.454567	42.218559	13.938442	85.888802	0	27.963091	31.894978	22.216133	9.3757048	13.964033	10	10	0	1	1	9.0019703	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	13	1982	34.145248	62.846878	0	15.85673	16.523561	37.439121	15.126304	85.639999	0	29.396641	39.608555	18.408199	10.360636	10.466316	10	10	0	1	1	9.4674339	63.519577	0	15.85673	16.500563	39.629673	14.562086	85.792198	2.3809524	31.24229	35.303539	22.205099	10.01415	8.9575596	10	10	0	1	1	9.2572355	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	13	1985	37.56292	63.195831	0	15.85673	16.588099	35.630402	15.659193	85.475998	2.2222223	32.770275	41.381222	21.922634	10.350854	6.3805466	10	10	0	1	1	9.4084492	62.846878	0	15.85673	16.523561	37.439121	15.126304	85.639999	0	29.396641	39.608555	18.408199	10.360636	10.466316	10	10	0	1	1	9.4674339	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	13	1988	34.671333	61.27589	0	15.85673	16.628515	33.86285	16.278633	85.424004	2.0833333	32.287548	42.632652	23.217466	11.054558	7.9961767	10	10	0	1	1	9.7175064	63.195831	0	15.85673	16.588099	35.630402	15.659193	85.475998	2.2222223	32.770275	41.381222	21.922634	10.350854	6.3805466	10	10	0	1	1	9.4084492	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	13	1991	40.380543	57.332882	0	15.85673	16.667776	32.774635	17.050335	85.541199	0	33.516636	43.091892	23.881067	11.29625	3.1534367	10	10	0	1	1	9.8455505	61.27589	0	15.85673	16.628515	33.86285	16.278633	85.424004	2.0833333	32.287548	42.632652	23.217466	11.054558	7.9961767	10	10	0	1	1	9.7175064	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
